1000 1
48 1 999999998
702 2 999999998
196 3 999999999
587 4 1000000000
204 5 999999995
905 6 999999990
617 7 999999990
143 8 999999994
703 9 999999996
536 10 1000000000
480 11 999999998
750 12 999999990
839 13 999999997
4 14 999999996
808 15 999999992
908 16 999999993
387 17 999999996
21 18 999999995
776 19 999999992
871 20 1000000000
601 21 999999997
172 22 999999994
320 23 999999995
243 24 999999999
990 25 1000000000
406 26 1000000000
471 27 999999991
491 28 999999998
536 29 999999990
634 30 999999997
850 31 999999993
240 32 1000000000
471 33 999999994
689 34 999999992
733 35 999999991
715 36 999999990
164 37 999999993
855 38 999999995
482 39 999999990
897 40 999999999
586 41 999999996
158 42 999999997
755 43 999999991
52 44 999999997
245 45 999999999
796 46 999999996
821 47 1000000000
445 48 999999997
106 49 999999993
536 50 999999992
763 51 999999993
411 53 999999996
307 54 999999991
652 55 999999993
165 56 999999990
344 57 999999991
889 58 999999998
348 59 999999993
355 60 999999991
970 61 999999998
503 62 999999990
769 63 999999992
48 64 999999993
696 65 999999995
959 66 999999994
780 67 999999999
455 68 999999996
440 69 999999995
940 70 999999993
418 71 999999998
938 72 999999990
32 73 999999992
956 74 999999995
750 75 999999990
516 76 999999999
245 77 999999992
656 78 999999990
342 79 999999994
387 80 999999991
911 81 999999994
536 82 999999993
758 83 999999996
617 84 999999993
91 85 999999998
194 86 999999996
509 87 999999999
594 88 999999996
299 89 1000000000
911 90 999999990
656 91 999999991
248 92 999999991
242 93 999999994
403 94 999999995
34 95 1000000000
913 96 999999995
783 97 999999992
15 98 999999997
278 99 999999998
245 100 999999997
528 101 999999993
347 102 999999998
51 103 999999998
710 104 999999992
258 105 999999993
52 106 999999995
638 107 999999990
136 108 999999997
526 109 999999990
440 110 999999993
547 111 999999994
267 112 999999991
800 113 1000000000
972 114 999999991
403 115 999999996
464 116 999999991
867 117 999999990
74 118 1000000000
160 119 999999992
153 120 999999993
963 121 999999996
988 122 999999996
11 123 999999992
892 124 1000000000
220 125 999999996
91 126 999999996
160 127 999999998
420 128 999999995
115 129 999999991
726 130 999999995
90 131 999999990
528 132 999999994
106 133 999999995
322 134 999999996
596 135 999999999
215 136 999999993
317 137 999999992
665 138 999999993
833 139 999999999
103 140 999999995
528 141 999999999
929 142 999999995
966 143 999999993
781 144 999999991
383 145 999999997
51 146 999999993
908 147 999999992
398 148 999999990
338 149 999999993
922 150 999999994
573 151 999999992
413 152 999999994
900 153 999999991
611 154 999999999
86 155 999999996
64 156 999999996
690 157 999999997
760 158 999999997
871 159 999999999
711 160 1000000000
656 161 999999996
342 162 999999998
513 163 999999998
62 164 999999995
711 165 1000000000
282 166 999999998
464 167 999999994
571 168 999999990
810 169 999999995
411 170 999999997
79 171 999999991
21 172 1000000000
593 173 999999991
195 174 999999999
988 175 999999995
675 176 999999997
751 177 999999990
281 178 999999995
496 179 999999990
27 180 999999998
850 181 999999998
488 182 999999999
704 183 999999994
345 184 999999992
219 185 999999995
414 186 999999994
372 187 999999998
922 188 999999995
15 189 1000000000
99 190 999999996
475 191 999999994
632 192 999999999
703 193 1000000000
344 194 999999996
369 195 999999993
401 196 999999996
814 197 1000000000
11 198 999999998
271 199 999999997
157 200 999999990
265 201 999999994
570 202 999999990
853 203 999999999
763 204 999999990
937 205 999999998
750 206 999999991
355 207 999999994
935 208 999999990
968 209 999999997
1000 210 999999995
527 211 1000000000
119 212 999999995
832 213 999999997
580 214 999999997
44 215 999999993
521 216 999999994
513 217 999999991
41 218 999999999
654 219 999999990
119 220 999999992
554 221 999999995
143 222 999999992
4 223 999999990
215 224 999999996
183 225 1000000000
325 226 999999993
741 227 1000000000
537 228 999999997
528 229 999999996
351 230 999999990
549 231 999999990
85 232 999999994
197 233 999999996
191 234 999999990
272 235 1000000000
374 236 999999991
594 237 999999992
756 238 999999992
351 239 999999990
161 240 1000000000
719 241 999999991
1 242 999999998
842 243 999999993
829 244 999999995
15 245 999999994
104 246 999999993
380 247 999999990
521 248 999999991
673 249 999999999
28 250 999999999
39 251 999999993
544 252 999999998
268 253 999999993
152 254 999999993
161 255 999999993
612 256 999999993
198 257 999999998
638 258 999999999
744 259 999999991
417 260 1000000000
380 261 999999996
607 262 999999991
779 263 999999996
652 264 999999998
711 265 999999995
813 266 999999998
950 267 999999992
186 268 999999992
601 269 999999990
962 270 999999992
44 271 999999992
113 272 999999991
367 273 999999993
299 274 999999991
321 275 999999998
826 276 999999991
784 277 999999997
748 278 999999997
365 279 999999992
551 280 999999993
349 281 999999996
344 282 999999996
497 283 999999994
9 284 999999997
533 285 999999994
762 286 999999998
555 287 999999994
554 288 999999994
464 289 999999995
750 290 999999990
573 291 999999998
754 292 999999999
22 293 999999997
753 294 999999992
351 295 999999997
449 296 999999996
664 297 999999991
828 298 999999992
688 299 999999992
872 300 999999995
266 301 999999996
108 302 999999997
278 303 999999996
77 304 999999990
321 305 999999996
851 306 999999996
100 307 999999999
11 308 999999995
711 309 999999990
635 310 999999993
258 311 999999991
140 312 999999995
314 313 999999996
584 314 999999998
783 315 999999994
462 316 999999997
928 317 999999993
311 318 999999994
445 319 999999991
169 320 999999995
820 321 999999998
43 322 999999994
52 323 999999997
187 324 999999990
589 325 999999996
776 326 999999990
668 327 999999995
172 328 1000000000
497 329 999999996
618 330 999999999
587 331 999999995
615 332 999999996
258 333 999999999
188 334 999999998
378 335 999999993
114 336 999999995
988 337 999999997
528 338 999999993
453 339 999999992
615 340 999999998
181 341 999999995
52 342 1000000000
758 343 1000000000
748 344 999999999
977 345 999999994
783 346 999999995
554 347 999999994
741 348 999999991
821 349 999999993
817 350 999999992
43 351 999999992
976 352 999999992
793 353 999999994
703 354 999999998
138 355 1000000000
586 356 999999995
756 357 999999991
49 358 999999994
850 359 999999999
714 360 999999996
669 361 999999991
776 362 999999996
860 363 999999990
748 364 999999997
768 365 999999995
57 366 999999995
161 367 999999991
796 368 999999995
665 369 999999990
808 370 1000000000
664 371 999999997
544 372 999999993
7 373 999999992
389 374 999999997
187 375 1000000000
957 376 999999994
507 377 999999994
97 378 999999997
21 379 999999995
544 380 999999990
232 381 999999999
538 382 999999995
485 383 999999994
812 384 999999998
97 385 999999992
788 386 999999995
347 387 999999995
745 388 999999996
586 389 999999999
219 390 999999990
337 391 999999990
252 392 999999992
935 393 999999997
22 394 999999991
590 395 999999998
265 396 999999999
108 397 999999990
392 398 999999998
937 399 999999996
187 400 1000000000
18 401 999999990
668 402 999999996
977 403 1000000000
232 404 999999992
664 405 999999994
245 406 999999990
562 407 999999992
672 408 999999995
596 409 999999998
448 410 999999997
701 411 1000000000
82 412 999999994
576 413 999999996
187 414 999999998
889 415 999999995
445 416 1000000000
688 417 999999999
846 418 999999995
274 419 999999993
194 420 999999995
728 421 999999997
673 422 999999998
356 423 999999994
714 424 999999991
11 425 999999997
748 426 999999993
342 427 999999992
665 428 999999997
700 429 999999997
380 430 999999996
248 431 999999993
659 432 999999994
842 433 999999999
681 434 999999995
485 435 999999994
270 436 999999996
426 437 999999992
984 438 999999996
338 439 999999999
935 440 999999998
38 441 999999996
43 442 1000000000
345 443 999999990
106 444 999999994
82 445 999999996
416 446 999999991
705 447 999999993
82 448 1000000000
738 449 999999990
106 450 999999995
127 451 999999995
245 452 1000000000
122 453 999999995
214 454 999999995
193 455 999999999
832 456 999999995
282 457 999999999
39 458 999999990
746 459 1000000000
303 460 999999996
990 461 999999995
787 462 999999991
188 463 999999999
755 464 999999997
776 465 999999996
13 466 999999996
401 467 1000000000
315 468 1000000000
204 469 999999990
694 470 999999996
615 471 999999992
29 472 1000000000
911 473 999999993
517 474 999999994
265 475 999999993
107 476 999999998
150 477 999999997
161 478 999999996
106 479 999999995
344 480 999999996
749 481 1000000000
748 482 999999991
204 483 999999991
672 484 999999991
491 485 999999999
19 486 999999994
584 487 999999997
415 488 999999990
479 489 1000000000
526 490 999999994
52 491 999999993
49 492 999999998
668 493 999999992
48 494 999999991
309 495 999999995
133 496 999999993
751 497 999999990
457 498 999999991
199 499 999999991
317 500 999999998
724 501 999999993
950 502 999999999
790 503 999999994
757 504 999999996
853 505 999999999
585 506 1000000000
242 507 999999995
456 508 999999994
115 509 999999991
936 510 999999991
963 511 999999991
732 512 999999998
194 513 999999995
211 514 999999996
730 515 999999996
823 516 1000000000
741 517 1000000000
29 518 999999991
661 519 999999998
878 520 999999990
755 521 999999998
239 522 999999998
677 523 999999991
489 524 999999992
744 525 999999999
428 526 999999991
161 527 999999998
290 528 999999990
627 529 999999994
227 530 1000000000
754 531 999999999
842 532 999999994
464 533 999999993
486 534 999999997
196 535 999999995
160 536 999999993
822 537 999999999
282 538 999999996
692 539 999999990
435 540 999999992
411 541 999999991
347 542 999999998
60 543 999999993
536 544 999999993
946 545 999999993
12 546 999999993
396 547 999999994
536 548 1000000000
578 549 999999992
652 550 999999994
106 551 999999993
221 552 999999995
590 553 999999999
904 554 999999993
82 555 999999998
380 556 999999992
344 557 999999997
306 558 999999991
15 559 999999991
42 560 1000000000
557 561 999999993
722 562 999999997
132 563 999999999
693 564 999999997
322 565 999999995
544 566 999999998
188 567 999999990
3 568 999999994
897 569 1000000000
77 570 999999998
122 571 999999997
879 572 999999998
689 573 999999995
581 574 999999997
937 575 999999993
475 576 999999999
100 577 999999998
64 578 999999990
848 579 999999994
589 580 999999993
956 581 999999992
199 582 999999998
201 583 999999992
287 584 999999993
570 585 999999994
889 586 999999996
808 587 999999993
127 588 999999996
544 589 999999992
821 590 999999997
364 591 999999999
115 592 999999990
511 593 999999999
611 594 999999995
600 595 999999991
856 596 999999997
162 597 999999993
618 598 999999991
872 599 1000000000
554 600 999999990
482 601 999999991
647 602 999999990
627 603 999999999
492 604 1000000000
16 605 999999990
970 606 999999997
22 607 999999992
837 608 999999992
656 609 999999990
899 610 999999996
783 611 999999991
15 612 1000000000
943 613 999999994
732 614 999999994
172 615 999999995
276 616 1000000000
51 617 999999992
194 618 999999996
868 619 999999993
566 620 999999995
106 621 999999995
599 622 999999992
754 623 999999993
122 624 999999991
354 625 999999999
922 626 999999997
704 627 999999994
91 628 999999993
485 629 999999998
943 630 999999994
754 631 999999997
252 632 999999991
979 633 1000000000
904 634 999999990
15 635 999999990
